total_points,MP,GS,A,CS,GC,OG,PM,YC,RC,B,BPS,I,C,T,II,I Form,C Form,T Form,II Form,P Form,Venue,NT,SB,xG,xGA,FDR,total points_1
11,85,1,1,0,2,0,0,0,0,1,26,24.6,2.8,55,8.2,24.6,2.8,55,8.2,11,0,0,874608,1.4,0,2,11
1,29,0,0,0,0,0,0,0,0,0,0,10.4,12.3,28,5.1,17.5,7.55,41.5,6.65,11,1,175914,1293309,0.1,0.1,2,1
11,90,1,1,1,0,0,0,0,0,0,39,70.4,25.3,103,19.9,35.1,13.46,62,11.06,6,1,-184736,1158692,1.4,0.5,3,11
1,45,0,0,0,1,0,0,0,0,0,4,7.8,13.8,25,4.7,35.13333333,13.46666667,62,11.06666667,7.6,0,177596,1422941,0.3,0.1,5,1
10,90,1,0,0,1,0,0,0,0,3,27,51.2,35.8,87,17.4,29.53333333,17.13333333,52,9.9,6,1,122769,1571656,0.5,0.1,1,10
7,90,1,0,0,2,0,0,0,0,0,20,35.4,15.9,79,13,43.13333333,24.96666667,71.66666667,14,5.75,0,137514,1749987,0.7,0,3,7
2,83,0,0,0,1,0,0,0,0,0,10,5.2,25.8,10,4.1,31.46666667,21.83333333,63.66666667,11.7,7.25,0,47197,1825218,0.3,0.1,2,2
3,77,0,0,1,0,0,0,0,0,0,4,10.4,29,29,6.8,30.6,25.83333333,58.66666667,11.5,5,1,-125132,1716950,0.4,0.1,3,3
7,90,1,0,0,4,0,0,0,0,0,21,46.2,24.2,65,13.5,17,23.56666667,39.33333333,7.966666667,5.5,0,-68975,1656590,0.3,0.1,4,7
4,80,0,1,1,0,0,1,0,0,0,5,27.8,16.9,57,10.2,20.6,26.33333333,34.66666667,8.133333333,4.75,1,210999,1884658,1,0.1,1,4
15,90,2,0,0,1,0,0,0,0,3,48,76.6,37.6,59,17.3,28.13333333,23.36666667,50.33333333,10.16666667,4,0,79912,1978650,0.6,0.3,3,15
16,79,2,0,1,0,0,0,0,0,3,40,68.2,27.3,66,16.2,50.2,26.23333333,60.33333333,13.66666667,7.25,1,280935,2285001,0.8,0.2,2,16
7,90,1,0,0,1,0,0,0,0,0,23,41.2,26.7,88,15.6,57.53333333,27.26666667,60.66666667,14.56666667,10.5,1,116541,2417627,0.7,0.2,4,7
13,23,2,0,0,0,0,0,0,0,2,40,68.4,14.8,34,11.7,62,30.53333333,71,16.36666667,10.5,0,192297,2624122,0.6,0.1,2,13
5,79,0,1,0,1,0,0,0,0,0,14,21.6,29.3,41,9.2,59.26666667,22.93333333,62.66666667,14.5,12.75,0,242721,2884620,0.1,0.5,1,5
11,66,1,0,1,0,0,0,0,0,3,37,51.2,80.5,90,22.2,43.73333333,23.6,54.33333333,12.16666667,10.25,1,97190,3006525,0.4,0.4,3,11
3,90,0,0,1,0,0,0,0,0,0,5,5,20.3,26,5.1,47.06666667,41.53333333,55,14.36666667,9,1,85126,3106340,0.4,0.3,2,3
8,70,1,0,1,0,0,0,0,0,0,26,39.6,23.2,56,11.9,25.93333333,43.36666667,52.33333333,12.16666667,8,0,44682,3166441,0.6,0.1,2,8
10,90,1,1,0,3,0,0,0,0,0,28,43.4,17,57,11.7,31.93333333,41.33333333,57.33333333,13.06666667,6.75,0,31575,3223204,0.9,0,3,10
9,68,0,2,1,0,0,0,0,0,0,27,43.4,37.8,66,14.7,29.33333333,20.16666667,46.33333333,9.566666667,8,1,51229,3292586,0.5,1.3,1,9
14,82,2,0,0,1,0,0,0,0,2,27,61.4,4.7,84,15,42.13333333,26,59.66666667,12.76666667,7.5,1,43112,3355073,2.2,0,2,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,19.83333333,69,13.8,10.25,0,-489201,2870412,0,0,3,0
11,87,1,1,0,2,0,0,0,0,1,40,59.6,27.5,78,16.5,34.93333333,14.16666667,50,9.9,8.25,1,-11983,2874585,0.4,0.1,4,11
2,90,0,0,0,1,0,0,0,0,0,9,7.2,46.8,40,9.4,40.33333333,10.73333333,54,10.5,8.5,0,212126,3102706,0.6,0.4,2,2
8,82,1,0,1,0,0,0,0,0,0,26,35.2,7.7,37,8,22.26666667,24.76666667,39.33333333,8.633333333,6.75,0,67253,3187877,1.2,0,1,8
15,90,2,0,0,2,0,0,0,0,3,42,71.8,18.2,76,16.6,34,27.33333333,51.66666667,11.3,5.25,1,16283,3211480,0.9,0.1,3,15
13,88,1,1,1,0,0,0,0,0,2,36,53,38.1,33,12.4,38.06666667,24.23333333,51,11.33333333,9,0,103170,3331540,0.9,0.7,2,13
10,86,1,1,0,1,0,0,0,0,0,30,56.4,31.8,76,16.4,53.33333333,21.33333333,48.66666667,12.33333333,9.5,1,101066,3455913,0.8,0.4,1,10
8,90,1,0,1,0,0,0,0,0,0,26,39.4,37,87,16.3,60.4,29.36666667,61.66666667,15.13333333,11.5,1,46136,3512691,0.7,0.1,1,8
2,90,0,0,0,2,0,0,0,0,0,4,6.6,16.8,8,3.1,49.6,35.63333333,65.33333333,15.03333333,11.5,0,464,3542316,0,0.1,3,2
29,90,4,1,1,0,0,0,0,0,3,93,163.6,38.1,102,30.4,34.13333333,28.53333333,57,11.93333333,8.25,1,62759,3662419,1.4,0.9,1,29
7,90,1,0,0,1,0,0,0,0,0,26,51.4,48.3,51,15.1,69.86666667,30.63333333,65.66666667,16.6,12.25,0,52011,3680559,0.4,0.1,2,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.86666667,34.4,53.66666667,16.2,11.5,0,-291456,3382574,0,0,3,0
8,90,1,0,1,0,0,0,0,0,0,25,42.6,30.2,80,15.3,71.66666667,28.8,51,15.16666667,9.5,1,-37510,3320084,0.8,0.1,1,8
7,83,1,0,0,1,0,0,0,0,0,21,35.4,10.1,54,10,31.33333333,26.16666667,43.66666667,10.13333333,11,0,152519,3558646,0.3,0.4,2,7
3,90,0,0,1,0,0,0,0,0,0,-2,0,18.5,91,10.6,26,13.43333333,44.66666667,8.433333333,5.5,1,8726,3531038,0.8,0.5,2,3
1,90,0,0,0,1,0,0,1,0,0,2,1,13.8,11,2.6,26,19.6,75,11.96666667,4.5,0,-349365,3161808,0.1,0,5,1
11,83,1,1,1,0,0,0,0,0,0,32,63.6,38.6,80,18.2,12.13333333,14.13333333,52,7.733333333,4.75,1,160600,3354920,0.9,0.6,1,11
8,86,1,0,1,1,0,0,0,0,0,20,47.6,29,92,16.9,21.53333333,23.63333333,60.66666667,10.46666667,5.5,1,0,2478960,1.6,0.2,2,8
9,90,0,2,1,0,0,0,0,0,0,22,30.6,41.5,81,15.3,37.4,27.13333333,61,12.56666667,5.75,0,38860,2799491,0.7,0.9,2,9
8,90,1,0,1,1,0,0,0,0,0,28,49,72,82,20.3,47.26666667,36.36666667,84.33333333,16.8,7.25,1,5370,2892383,0.4,0.3,1,8
2,70,0,0,0,0,0,0,0,0,0,7,5,12.5,23,4.1,42.4,47.5,85,17.5,9,0,32547,2995784,0.4,0.1,2,2
2,90,0,0,0,1,0,0,0,0,0,7,16,31.8,74,12.2,28.2,42,62,13.23333333,6.75,0,-261759,2754458,0.2,0.2,4,2
8,90,1,0,1,1,0,0,0,0,0,18,34,2.9,60,9.7,23.33333333,38.76666667,59.66666667,12.2,5.25,1,-352832,2419608,1.4,0,1,8
2,65,0,0,0,0,0,0,0,0,0,8,9.4,25.7,40,7.5,18.33333333,15.73333333,52.33333333,8.666666667,5,0,-106042,2330574,0.4,0.1,4,2
3,90,0,0,1,1,0,0,0,0,0,1,0,1.9,31,3.3,19.8,20.13333333,58,9.8,3.5,1,-338250,1992452,0.2,0,4,3
8,90,1,0,1,0,0,0,0,0,0,26,43,12.5,76,13.2,14.46666667,10.16666667,43.66666667,6.833333333,3.75,0,-321994,1681931,0.5,0,2,8
15,90,1,2,0,1,0,0,0,0,2,47,72.4,45.8,56,17.4,17.46666667,13.36666667,49,8,5.25,1,251072,1978411,0.5,1,1,15
2,90,0,0,0,1,0,0,0,0,0,11,12.8,53.7,49,11.6,38.46666667,20.06666667,54.33333333,11.3,7,0,81044,2050707,0.1,0.4,4,2
8,90,1,0,1,1,0,0,0,0,0,21,41.6,6.3,83,13.1,42.73333333,37.33333333,60.33333333,14.06666667,7,1,24344,2089855,1,0,1,8
8,85,1,0,1,0,0,0,0,0,0,22,39.8,4,40,8.4,42.26666667,35.26666667,62.66666667,14.03333333,8.25,0,36210,2135344,0.2,0,1,8
3,74,0,0,1,0,0,0,0,0,0,14,6,49.5,9,6.5,31.4,21.33333333,57.33333333,11.03333333,8.25,1,-12104,2120181,0,0.4,2,3
4,25,0,1,0,0,0,0,0,0,0,14,28.4,35.3,56,12,29.13333333,19.93333333,44,9.333333333,5.25,0,-46474,2077373,0.3,0.7,1,4
21,90,3,0,1,0,0,0,0,0,3,70,107,28.9,83,21.9,24.73333333,29.6,35,8.966666667,5.75,0,-32078,2055754,1.2,0.1,2,21
2,90,0,0,0,0,0,0,0,0,0,4,9.8,43.5,29,8.2,47.13333333,37.9,49.33333333,13.46666667,9,1,91147,2155631,0.1,0.2,3,2
12,90,1,1,1,0,0,0,0,0,1,32,64.8,40.8,103,20.9,48.4,35.9,56,14.03333333,7.5,0,28722,2193139,0.4,0.4,3,12
12,90,1,1,1,0,0,0,0,0,1,32,52.2,32,31,11.5,60.53333333,37.73333333,71.66666667,17,9.75,1,154487,2367967,0.8,0.3,1,12
12,90,1,1,0,0,0,0,0,0,2,31,55.4,26.4,61,14.3,42.26666667,38.76666667,54.33333333,13.53333333,11.75,1,46135,2413827,1,0.7,3,12
2,90,0,0,0,0,0,0,0,0,0,5,6.4,16.8,23,4.6,57.46666667,33.06666667,65,15.56666667,9.5,0,67720,2489006,0.2,0.3,5,2
11,90,1,0,1,0,0,0,0,0,3,31,46.4,35.4,52,13.4,38,25.06666667,38.33333333,10.13333333,9.5,0,130655,2644016,1.1,0.2,2,11
15,90,2,0,0,1,0,0,0,0,3,41,73.2,21,68,16.2,36.06666667,26.2,45.33333333,10.76666667,9.25,1,317868,2975722,1.3,0.2,2,15
2,90,0,0,0,0,0,0,0,0,0,2,3.4,15.8,40,5.9,42,24.4,47.66666667,11.4,10,1,145798,3128863,0.1,0.1,2,2
2,90,0,0,0,0,0,0,0,0,0,-2,7.6,13.8,48,6.9,41,24.06666667,53.33333333,11.83333333,7.5,0,-18495,3084004,0.1,0,3,2
